prot_id,LFQ intensity 1,LFQ intensity 2,LFQ intensity 3,LFQ intensity 4,LFQ intensity 5,LFQ intensity 6,LFQ intensity 7,LFQ intensity 8,LFQ intensity 9,LFQ intensity 10,LFQ intensity 11,LFQ intensity 12,LFQ intensity 13,LFQ intensity 14,LFQ intensity 15,LFQ intensity 16,LFQ intensity 17,LFQ intensity 18,LFQ intensity 19,LFQ intensity 20,LFQ intensity 21,LFQ intensity 22,LFQ intensity 23,LFQ intensity 24,LFQ intensity 25,LFQ intensity 26,LFQ intensity 27,desc,valid_points,max,mw,clusters
Tb927.7.4930,0,0,0,0,0,0,3464000,0,2723200,2282600,1971100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ribonuclease H1,4,7,33.08,301
Tb927.7.4940,35769000,89187000,95938000,35467000,36366000,45095000,23714000,16897000,10014000,6288700,6925400,5834600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"serine peptidase, clan SC, family S9A-like protein",12,3,104.35,211
Tb927.7.4960,0,0,0,0,0,7600100,8789900,13756000,19863000,21015000,11779000,8514700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",7,10,50.163000000000004,294
Tb927.7.4990,0,0,0,0,6575000,0,6994500,9614800,7728400,14898000,12559000,12757000,15069000,15201000,14218000,13391000,12712000,13686000,14748000,10837000,7798700,0,0,0,0,0,0,"hypothetical protein, conserved",16,14,82.65899999999999,191
Tb927.7.5020,594290000,2037000000,1690500000,1618400000,1408600000,1098100000,436980000,351240000,365300000,293980000,176790000,163160000,229560000,256460000,371670000,289310000,133340000,111490000,14938000,27118000,21034000,46366000,28274000,0,0,0,0,"60S ribosomal protein L19, putative",23,2,29.408,223
Tb927.7.5030,0,15427000,14084000,9583000,21038000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",4,5,39.565,245
Tb927.7.5050,7354900,7017500,5510800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",3,1,105.21,269
Tb927.7.5080,0,0,0,5558100,7358700,5120100,8662400,17875000,12546000,9690300,8976700,5381200,4150800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ATP-NAD kinase-like protein,10,8,79.822,274
Tb11.v5.0195,0,0,0,8292700,5053300,8015400,9268700,14996000,9473800,14417000,8542500,6854100,7303500,7217000,5048300,0,0,0,0,0,0,0,0,0,0,0,0,"STAG domain containing protein, putative",12,8,115.4,60
Tb927.10.6060,64855000,54619000,158070000,244960000,232670000,250680000,252380000,118820000,235050000,127680000,125350000,81661000,97603000,79543000,56452000,29736000,51350000,38710000,7662400,11085000,19227000,12692000,172970000,54523000,85692000,123500000,109110000,universal minicircle sequence binding protein 2,27,7,21.836,373
Tb927.5.320,0,0,6042500,7112500,7759500,5158400,6121200,8087700,8764800,9732400,8191100,8099600,4939400,4262700,4891500,0,0,0,0,0,0,0,0,0,0,0,0,"receptor-type adenylate cyclase GRESAG 4, putative",13,10,136.56,411
Tb927.5.295b,109040000,39712000,63436000,34962000,66245000,60399000,105520000,114630000,106270000,141900000,124010000,113880000,103240000,92055000,87339000,87309000,86733000,88507000,57163000,36754000,17108000,0,0,0,0,0,0,retrotransposon hotspot (RHS) protein 1,21,10,95.12700000000001,424
Tb927.5.500,16122000,22148000,11438000,13499000,6031800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",5,2,153.59,265
Tb927.5.450,6903400,7158700,5902900,4499000,10858000,5031400,8453300,11180000,7522600,6014700,4842600,3429800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",12,8,55.32,390
Tb927.5.440,7234400,30798000,28388000,15269000,16249000,35175000,28005000,40025000,32620000,45802000,68876000,96691000,88735000,105780000,149900000,238680000,266560000,244460000,249330000,163350000,31256000,16289000,0,0,0,0,0,"trans-sialidase, putative",22,17,84.56200000000001,112
Tb927.10.5220,22303000,15456000,45063000,8777100,33798000,1016800,14304000,7418700,7391100,0,3759600,3633100,4622100,3979900,6402000,0,3980700,4837100,11158000,19797000,32392000,14800000,0,0,0,0,0,"hypothetical protein, conserved",20,3,51.172,206
Tb927.10.5210,0,0,0,0,0,0,1527200,2213500,2128100,1614600,1488400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TFIIH basal transcription factor subunit,5,8,55.956,295
Tb927.10.5200,3642400,4020700,2112000,7621600,20952000,30373000,17447000,9950100,3221700,2197100,2356200,0,0,0,0,0,0,0,0,0,0,4082100,0,0,0,0,0,"hypothetical protein, conserved",12,6,47.711999999999996,495
Tb927.10.5340,188610000,264630000,346830000,414090000,441990000,458990000,774800000,740980000,866720000,695650000,620850000,553790000,426630000,399920000,367970000,341740000,281090000,200980000,229030000,200240000,132360000,170870000,84729000,215200000,145180000,189950000,210440000,"40S ribosomal protein S18, putative",27,9,17.51,403
Tb927.10.5310,0,0,0,0,0,0,0,0,8371600,10416000,18484000,18972000,24869000,24560000,34328000,34498000,17454000,23607000,25732000,0,0,0,0,0,0,0,0,"SNF1-related protein kinases, putative",11,16,80.619,111
Tb927.10.5280,0,0,0,0,0,0,0,0,0,4058000,4035000,3109700,3851300,4985400,0,4604700,6522000,0,0,0,0,0,0,0,0,0,0,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative",7,17,98.05799999999999,100
Tb927.11.7290,136840000,159160000,153790000,119620000,103260000,132900000,75441000,33648000,17421000,5736600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"pantothenate kinase subunit, putative",10,2,162.1,242
Tb927.11.7250,47266000,32876000,54563000,44494000,32995000,26351000,16425000,18274000,13674000,15492000,16557000,18401000,28114000,25583000,23173000,18413000,20259000,15004000,36371000,29467000,25719000,18109000,0,0,0,0,0,"hypothetical protein, conserved",22,3,53.363,349
Tb927.11.7240,8439000,25830000,15027000,7327700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nexin-dynein regulatory complex 2,4,2,58.672,250
Tb927.7.4550,0,0,7477400,8953100,8799500,13657000,13294000,5755000,4861300,3420500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mitochondrial ribosomal protein L7/L12,8,6,19.423,489
Tb927.10.6320,0,11189000,22157000,40591000,18689000,40371000,31331000,21140000,11686000,8401400,1868100,1877200,2146600,2990600,3143900,0,0,0,0,0,0,0,0,0,0,0,0,"CBF/Mak21 family, putative",14,4,68.143,515
Tb927.10.6310,3525800,31719000,88232000,361950000,802510000,514870000,127580000,48537000,34724000,36659000,31545000,30626000,23125000,18841000,19832000,1601000,0,0,0,0,0,0,0,0,0,0,0,"major vault protein, putative",16,5,96.198,451
Tb927.10.6300,47200000,32221000,26741000,45122000,67047000,70734000,47196000,17200000,9179600,15874000,10304000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mitochondrial ribosomal protein S5,11,6,50.038000000000004,227
Tb927.10.6290,0,0,11016000,0,11676000,11501000,9140900,9744800,8330900,10291000,10198000,8038000,7541400,6888000,5309800,5250300,2699300,0,0,0,0,0,0,0,0,0,0,"ATP-dependent DEAD/H RNA helicase, putative",14,5,57.578,435
Tb927.11.12750,0,0,0,0,0,0,0,7203100,7029700,4992000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleavage and polyadenylation specificity factor 30 kDa subunit,3,8,31.603,288
Tb927.10.15950,0,0,0,2831200,3400100,6949500,4284300,7021300,7200700,12140000,9531100,9099700,8338400,6649500,5596800,0,3979300,0,0,0,0,0,0,0,0,0,0,TATA-box-binding protein,13,10,28.822,64
Tb11.v5.0325,0,12834000,11638000,11969000,0,11715000,14921000,13155000,17787000,19462000,22037000,24374000,23299000,20802000,20084000,30195000,52406000,45758000,44934000,29233000,13106000,5988600,0,0,0,0,0,"retrotransposon hot spot (RHS) protein, putative",20,17,36.986,125
Tb11.v5.0326,0,0,16443000,0,0,0,12367000,10167000,10704000,10157000,13515000,13923000,9041400,13296000,8128800,7682900,10548000,9544400,7221300,6257200,0,0,0,0,0,0,0,"retrotransposon hot spot (RHS) protein, putative",15,3,34.883,430
Tb927.1.1240,0,0,16982000,0,12914000,17836000,25295000,43045000,61590000,104860000,228130000,296890000,227450000,172170000,99792000,107340000,63513000,39644000,40016000,37053000,24070000,0,0,0,0,0,0,"cytidine triphosphate synthase, putative",18,12,65.212,15
Tb11.v5.0365,156710000,182810000,167610000,165480000,117720000,108580000,51969000,38802000,29897000,24408000,20190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",11,2,82.854,242
Tb11.v5.0366,97503000,221140000,175430000,295080000,204160000,151560000,88119000,54437000,29160000,23992000,7556600,3116000,2535400,1400300,1234800,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",15,4,120.58,220
Tb927.1.1310,6700200,2931900,2730500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"transmembrane protein, conserved",3,1,47.016000000000005,269
Tb927.1.1370,0,10469000,14939000,13270000,27396000,42978000,34771000,36753000,30852000,33638000,29295000,14796000,14028000,9804400,5557100,2736700,1716200,1672300,0,0,0,0,0,0,0,0,0,"rRNA biogenesis protein, putative",17,6,75.10300000000001,505
Tb11.v5.0394,17763000,105300000,83138000,98598000,100170000,192760000,121350000,104900000,77867000,64729000,35508000,25543000,16389000,12122000,10219000,7729000,3609200,0,0,6225600,0,0,0,0,0,0,0,"hypothetical protein, conserved",18,6,183.78,514
Tb927.10.16170,0,0,0,0,2602700,2064800,9364700,3768900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"potassium voltage-gated channel, putative",4,7,34.606,482
Tb927.10.16150,17701000,18797000,17232000,62579000,43151000,29861000,15151000,17969000,16465000,17148000,10870000,11533000,13682000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ATP-dependent zinc metallopeptidase, putative",13,4,62.778999999999996,467
Tb11.v5.0412,20008000,25561000,29475000,38324000,50840000,40468000,13214000,14257000,5653400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",9,5,89.646,228
Tb927.10.14490,89300000,235420000,80336000,127000000,74552000,16422000,38573000,28724000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",8,2,46.24,249
Tb11.v5.0422,0,0,0,0,0,0,0,4447500,5907200,7844900,0,9484500,0,10214000,9129100,10055000,10800000,8131400,9845100,8646700,0,0,0,0,0,0,0,"SET domain containing protein, putative",11,17,52.622,199
Tb927.10.15850,11628000,10284000,8360700,8204900,8511600,5985300,9471900,9262100,10340000,10002000,11221000,10314000,8078100,7730900,0,0,7981800,0,9860700,6187300,8836300,7472200,5157100,0,0,0,0,Peroxisome biogenesis factor 12,20,1,43.172,371
Tb11.v5.0433,0,0,5156800,7247900,11502000,5471100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",4,5,47.531000000000006,453
Tb927.10.15390,13020000,14467000,18941000,19930000,19199000,22166000,16464000,16158000,13299000,17644000,13079000,8159400,11826000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Flagellum attachment zone protein 7,13,6,123.56,529
Tb927.11.3650,1429800,14999000,21026000,23026000,21511000,36138000,24279000,38708000,60401000,86598000,146900000,234840000,497890000,891440000,1806600000,1759900000,1879000000,1602200000,1819800000,1370400000,989270000,393820000,92872000,57367000,8162100,0,0,"adenylosuccinate synthetase, putative",25,17,66.67399999999999,110
Tb927.10.15650,0,21348000,17586000,31422000,36416000,29661000,16677000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mitochondrial SSU ribosomal protein, putative",6,5,65.858,440
Tb927.1.2390,13206000000,13637000000,17513000000,17396000000,17538000000,9449000000,11240000000,9970500000,13486000000,12110000000,14527000000,13607000000,12779000000,11824000000,12331000000,13678000000,12271000000,12734000000,11645000000,12572000000,12746000000,12398000000,6224200000,3137700000,1341800000,1212100000,1271100000,beta tubulin,27,5,49.70399999999999,140
Tb927.3.3290,0,0,0,0,0,0,0,0,0,3350200,3130700,1963900,4002400,3255400,3794200,0,4248000,0,0,0,0,0,0,0,0,0,0,"protein kinase, putative",7,17,52.418,30
Tb927.10.15380,0,29127000,21186000,64524000,94631000,61514000,23773000,10562000,5475800,4769900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"U3 snoRNA-associated protein UTP11, putative",9,5,40.445,453
Tb11.v5.0485,0,0,0,0,0,0,13160000,5741700,10612000,7023500,5923800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",5,7,101.8,301
Tb927.10.660,17559000,13299000,15411000,70909000,71337000,44652000,59981000,32765000,34220000,21726000,20113000,26862000,21745000,20888000,22496000,24142000,24450000,22869000,30067000,45366000,28726000,15545000,0,0,0,0,0,"2-oxoisovalerate dehydrogenase alpha subunit, putative",22,5,46.369,362
Tb927.10.3940,1595100000,3024000000,2507700000,1947500000,1443300000,1245300000,875380000,612750000,508320000,544390000,303490000,313040000,335610000,316310000,330190000,362580000,226710000,261420000,255460000,216610000,293150000,332650000,167410000,233160000,525770000,703150000,733360000,"40S ribosomal protein S3A, putative",27,2,29.421999999999997,210
Tb927.10.3920,0,2904800,4267100,4475700,0,1819800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",4,4,52.968999999999994,246
Tb927.8.3320,0,5251200,4526600,3741100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mitochondrial ATP synthase subunit, putative",3,2,45.86600000000001,246
Tb11.v5.0524,0,0,0,2746500,0,0,0,7217300,0,1434100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",3,8,60.47,278
Tb927.10.5620,701250000,873750000,710270000,719850000,549270000,636290000,522160000,709710000,702200000,984750000,1004900000,1153600000,1297100000,1285500000,1272800000,932020000,683970000,522010000,457720000,445870000,539580000,773860000,1250300000,459190000,187650000,106560000,115500000,"fructose-bisphosphate aldolase, glycosomal",27,13,41.071000000000005,144
Tb927.8.5010,881520000,1040800000,1337100000,1133200000,771270000,613810000,540770000,546450000,559650000,547630000,514930000,510400000,659700000,693480000,626560000,411180000,319130000,174880000,94040000,29763000,9274900,0,0,0,0,0,0,Paraflagellar rod protein 2-5,21,3,69.596,339
Tb927.10.10960,583380000,1153600000,711780000,528600000,593050000,929190000,1041900000,1720600000,2518400000,4246300000,6735400000,8694900000,9199200000,8292400000,10512000000,14268000000,14489000000,14515000000,8982000000,2656000000,966080000,588220000,304060000,231500000,267240000,231860000,245430000,"heat shock protein, putative",27,18,80.763,111
Tb927.10.13270,21905000,44128000,75750000,43986000,67437000,89143000,28108000,11948000,9429600,2905500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Periodic tryptophan protein 2 homolog, putative",10,6,102.91,228
Tb927.10.350,0,0,0,0,0,2589900,3644900,4517000,4726300,5726600,9063800,13138000,8700700,5300100,5063500,3102700,5129700,2946200,0,0,3319900,2859000,0,0,0,0,0,"protein kinase PK4, putative",15,12,58.556999999999995,18
Tb927.8.4740,0,7441200,5232600,2413200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"amino acid transporter, putative",3,2,49.685,250
Tb927.10.7100,17219000,14263000,13598000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,delta-4 fatty acid desaturase,3,1,47.965,269
Tb11.v5.0589,0,16098000,17176000,21483000,21737000,109280000,59698000,37189000,63076000,39236000,21571000,11569000,11500000,7227400,0,5821300,0,0,0,0,0,0,0,0,0,0,0,"Clusterin-associated protein-1, putative",14,6,49.398999999999994,492
Tb11.v5.0594,0,0,9941700,8098700,11784000,15018000,11459000,12561000,14518000,13588000,14842000,14696000,0,10890000,14571000,11394000,12298000,0,0,0,0,0,0,0,0,0,0,"retrotransposon hot spot (RHS) protein, putative",14,6,68.785,433
Tb11.v5.0616,9451800,9370700,7310600,19695000,13707000,18515000,16960000,29161000,24583000,31003000,16603000,9330200,7887200,0,3225300,0,0,0,0,0,0,0,0,0,0,0,0,"paraflagellar rod protein, putative",14,10,76.14399999999999,503
Tb11.v5.0620,0,0,0,0,0,4599800,4263900,3933600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"COG4 transport protein, putative",3,6,61.282,478
Tb11.v5.0624,66712000,156110000,165790000,182170000,159210000,235430000,213260000,245100000,248040000,316010000,272570000,247120000,204130000,205900000,240260000,252930000,207550000,201520000,194700000,91100000,34437000,22993000,0,0,0,0,0,"retrotransposon hot spot protein (PHS), putative",22,10,62.492,424
Tb927.10.960,0,0,0,0,0,0,0,0,0,5554900,4793300,7410400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,U4/U6-specific protein PRP4,3,12,65.488,81
Tb927.10.14890,0,0,0,0,0,0,0,0,7301500,26833000,69089000,119670000,174120000,151420000,113540000,75400000,41562000,21004000,14467000,0,0,0,0,0,0,0,0,"C-terminal motor kinesin, putative",11,13,90.8,11
Tb927.10.380,0,0,0,4281200,41372000,18997000,33347000,25050000,10707000,5251700,5815300,5467800,6397100,6733800,6498100,0,0,0,0,0,9111600,16604000,0,0,0,0,0,kinetoplast ribosomal PPR-repeat containing protein 5,14,5,39.683,487
Tb927.5.1230,8804800,14332000,13508000,18246000,10637000,6348700,6811100,8808400,7868100,10922000,6155000,6086700,11210000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"hypothetical protein, conserved",13,4,58.56399999999999,217
Tb927.2.830,34362000,117090000,66109000,83492000,90461000,105580000,117810000,121390000,185660000,204800000,151560000,121190000,77346000,63024000,56854000,40230000,39280000,61248000,84041000,13742000,21778000,14422000,0,0,0,0,0,"retrotransposon hot spot protein 1 (RHS1), interrupted",22,10,40.504,403
Tb927.9.15380,11374000,12685000,13871000,6960000,7351400,5807700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nadh-ubiquinone oxidoreductase 39 kda subunit,6,3,42.585,257
Tb927.5.3000,0,6778000,10621000,4723900,4173300,3439200,2555800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Thiopurine S-methyltransferase (TPMT), putative",6,3,39.828,252
Tb11.v5.0713,181420000,158860000,159950000,118500000,140410000,248390000,306850000,547120000,843140000,1178900000,995570000,860880000,617410000,546800000,550160000,640510000,560490000,497460000,408830000,196780000,76967000,40806000,0,0,0,0,0,"retrotransposon hot spot (RHS) protein, putative",22,10,78.342,172
